"title","description","category","location","rating","ai_score","image_url"
"东华山风景区","翁源县的自然景观景点","nature","翁源县","4.5","85","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"
"冷泉滩旅游度假区","位于翁源县龙仙镇南浦马墩村，是大型农业生态旅游园，特色是山间冷泉，泉水长年不枯竭，每小时流量达5000m³，水温常年保持在21℃左右，清澈纯净，园区有冷泉戏水、水上娱乐等项目","nature","翁源县","4.6","86","https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800"
"湖心坝客家群楼","翁源县的客家群楼建筑，具有历史文化价值","historic","翁源县","4.7","87","https://images.unsplash.com/photo-1564507592333-c60657eea523?w=800"
"广东核工业教育基地","国家AAA级风景区，位于翁源县坝仔镇半溪村，曾为我国第一颗原子弹研制提供三分之二的核燃料，包含下庄希望铀矿陈列馆、专家楼、供应楼、土法炼铀遗址、希望矿床6号功勋坑道等建筑，是集核军工红色文化、爱国主义教育、核科普、红色旅游为一体的教育基地","historic","翁源县","4.8","88","https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800"
"东华禅寺","位于翁源县郊东北部三公里处的东华山风景区内","historic","翁源县","4.9","89","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800"
"梅兰谷风景区","翁源县的自然景观景点","nature","翁源县","4.5","90","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"
"翁源县八卦围","翁源县的特色围屋建筑","historic","翁源县","4.6","91","https://images.unsplash.com/photo-1564507592333-c60657eea523?w=800"
"八泉公园","翁源县的城市公园景点","nature","翁源县","4.7","92","https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800"
"三华李观光园","翁源县的三华李种植观光园","nature","翁源县","4.8","93","https://images.unsplash.com/photo-1502082553048-f009c37129b9?w=800"
"幽兰谷风景区","位于翁源县翁城镇的自然景观景点","nature","翁源县","4.9","94","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"
"涂志伟美术馆","展示涂志伟艺术作品的美术馆","art","翁源县","4.5","95","https://images.unsplash.com/photo-1577219491598-b77a5aa870e0?w=800"
"光明陈氏宗祠","翁源县的陈氏宗祠建筑","historic","翁源县","4.6","96","https://images.unsplash.com/photo-1564507592333-c60657eea523?w=800"
"翁源县博物馆","展示翁源县历史文化的博物馆","cultural","翁源县","4.7","97","https://images.unsplash.com/photo-1576400887010-05192b164a8b?w=800"
"翁源湖","湖光山色，湖面如镜，倒映着四周的山峦，构成绝美的画卷","nature","翁源县","4.8","98","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800"
"古韵村落","保留着原始的建筑风貌和传统的生活方式，让人感受到浓厚的乡村气息","historic","翁源县","4.9","85","https://images.unsplash.com/photo-1564507592333-c60657eea523?w=800"
